abolish	do away with; "Slavery was abolished in the mid-19th century in America and in Russia"
major	(of a scale or mode) having half steps between the third and fourth degrees and the seventh and eighth degrees; "major scales"; "the key of D major"
major	of greater seriousness or danger; "a major earthquake"; "a major hurricane"; "a major illness"
major	of full legal age
major	of the elder of two boys with the same family name; "Jones major"
make	engage in; "make love, not war"; "make an effort"; "do research"; "do nothing"; "make revolution"
make	give certain properties to something; "get someone mad"; "She made us look silly"; "He made a fool of himself at the meeting"; "Don't make this into a big deal"; "This invention will make you a millionaire"; "Make yourself clear"
make	make or cause to be or to become; "make a mess in one's office"; "create a furor"
make	cause to do; cause to act in a specified manner; "The ads induced me to buy a VCR"; "My children finally got me to buy a computer"; "My wife made me buy a new sofa"
make	give rise to; cause to happen or occur, not always intentionally; "cause a commotion"; "make a stir"; "cause an accident"
make	create or manufacture a man-made product; "We produce more cars than we can sell"; "The company has been making toys for two centuries"
make	make, formulate, or derive in the mind; "I draw a line here"; "draw a conclusion"; "draw parallels"; "make an estimate"; "What do you make of his remarks?"
make	compel or make somebody or something to act in a certain way; "People cannot be made to integrate just by passing a law!"; "Heat makes you sweat"
make	create by artistic means; "create a poem"; "Schoenberg created twelve-tone music"; "Picasso created Cubism"; "Auden made verses"
make	earn on some commercial or business transaction; earn as salary or wages; "How much do you make a month in your new job?"; "She earns a lot in her new job"; "this merger brought in lots of money"; "He clears $5,000 each month"
make	create or design, often in a certain way; "Do my room in blue"; "I did this piece in wood to express my love for the forest"
make	to compose or represent; "This wall forms the background of the stage setting"; "The branches made a roof"; "This makes a fine introduction"
make	reach a goal; "make the first team"; "We made it!"; "She may not make the grade"
make	be or be capable of being changed or made into; "He makes a great host"; "He will make a fine father"
make	make by shaping or bringing together constituents; "make a dress"; "make a cake"; "make a wall of stones"
make	perform or carry out; "make a decision"; "make a move"; "make advances"; "make a phone call"
make	make by combining materials and parts; "this little pig made his house out of straw"; "Some eccentric constructed an electric brassiere warmer"
make	change from one form into another; "make water into wine"; "make lead into gold"; "make clay into bricks"
make	act in a certain way so as to acquire; "make friends"; "make enemies"
make	charge with a function; charge to be; "She was named Head of the Committee"; "She was made president of the club"
make	achieve a point or goal; "Nicklaus had a 70"; "The Brazilian team got 4 goals"; "She made 29 points that day"
make	reach a destination, either real or abstract; "We hit Detroit by noon"; "The water reached the doorstep"; "We barely made it to the finish line"; "I have to hit the MAC machine before the weekend starts"
make	institute, enact, or establish; "make laws"
make	carry out or commit; "make a mistake"; "commit a faux-pas"
make	form by assembling individuals or constituents; "Make a quorum"
make	organize or be responsible for; "hold a reception"; "have, throw, or make a party"; "give a course"
make	put in order or neaten; "make the bed"; "make up a room"
make	head into a specified direction; "The escaped convict took to the hills"; "We made for the mountains"
make	have a bowel movement; "The dog had made in the flower beds"
make	undergo fabrication or creation; "This wool makes into a nice sweater"
make	be suitable for; "Wood makes good furniture"
make	add up to; "four and four make eight"
make	amount to; "This salary increase makes no difference to my standard of living"
make	constitute the essence of; "Clothes make the man"
make	appear to begin an activity; "He made to speak but said nothing in the end"; "She made as if to say hello to us"
make	proceed along a path; "work one's way through the crowd"; "make one's way into the forest"
make	reach in time; "We barely made the plane"
make	gather and light the materials for; "make a fire"
make	prepare for eating by applying heat; "Cook me dinner, please"; "can you make me an omelette?"; "fix breakfast for the guests, please"
make	induce to have sex; "Harry finally seduced Sally"; "Did you score last night?"; "Harry made Sally"
make	assure the success of; "A good review by this critic will make your play!"
make	represent fictitiously, as in a play, or pretend to be or act like; "She makes like an actress"
make	consider as being; "It wasn't the problem some people made it"
make	calculate as being; "I make the height about 100 feet"
make	cause to be enjoyable or pleasurable; "make my day"
make	favor the development of; "Practice makes the winner"
make	develop into; "He will make a splendid father!"
make	behave in a certain way; "make merry"
make	eliminate urine; "Again, the cat had made on the expensive rug"
making	the act that results in something coming to be; "the devising of plans"; "the fashioning of pots and pans"; "the making of measurements"; "it was already in the making"
making	an attribute that must be met or complied with and that fits a person for something; "her qualifications for the job are excellent"; "one of the qualifications for admission is an academic degree"; "she has the makings of fine musician"
making	(usually plural) the components needed for making or doing something; "the recipe listed all the makings for a chocolate cake"
mandate	a document giving an official instruction or command
mandate	a territory surrendered by Turkey or Germany after World War I and put under the tutelage of some other European power until they are able to stand by themselves
mandate	the commission that is given to a government and its policies through an electoral victory
mandatory	required by rule; "in most schools physical education is compulsory"; "attendance is mandatory"; "required reading"
manifest	a customs document listing the contents put on a ship or plane
manipulate	influence or control shrewdly or deviously; "He manipulated public opinion in his favor"
manipulate	hold something in one's hands and move it
manipulate	tamper, with the purpose of deception; "Fudge the figures"; "cook the books"; "falsify the data"
manipulate	manipulate in a fraudulent manner; "rig prices"
manipulate	maintain influence over (others or oneself) skillfully, usually to one's advantage; "She manipulates her boss"; "She is a very controlling mother and doesn't let her children grow up"; "The teacher knew how to keep the class in line"; "she keeps in line"
manipulate	treat manually, as with massage, for therapeutic purposed
manipulation	exerting shrewd or devious influence especially for one's own advantage; "his manipulation of his friends was scandalous"
manipulation	the action of touching with the hands (or the skillful use of the hands) or by the use of mechanical means
manufacture	the organized action of making of goods and services for sale; "American industry is making increased use of computers to control production"
manufacture	the act of making something (a product) from raw materials; "the synthesis and fabrication of single crystals"; "an improvement in the manufacture of explosives"; "manufacturing is vital to Great Britain"
manufacturing	the act of making something (a product) from raw materials; "the synthesis and fabrication of single crystals"; "an improvement in the manufacture of explosives"; "manufacturing is vital to Great Britain"
manuscript	the form of a literary work submitted for publication
manuscript	handwritten book or document
marathon	any long and arduous undertaking
marathon	a footrace of 26 miles 385 yards
Marathon	a battle in 490 BC in which the Athenians and their allies defeated the Persians
March	the month following February and preceding April
march	the act of marching; walking with regular steps (especially in a procession of some kind); "it was a long march"; "we heard the sound of marching"
march	a steady advance; "the march of science"; "the march of time"
march	a procession of people walking together; "the march went up Fifth Avenue"
march	district consisting of the area on either side of a border or boundary of a country or an area; "the Welsh marches between England and Wales"
march	genre of music written for marching; "Sousa wrote the best marches"
MArch	a degree granted for the successful completion of advanced study of architecture
margin	the boundary line or the area immediately inside the boundary
margin	an amount beyond the minimum necessary; "the margin of victory"
margin	the amount of collateral a customer deposits with a broker when borrowing from the broker to buy securities
margin	(finance) the net sales minus the cost of goods and services sold
margin	the blank space that surrounds the text on a page; "he jotted a note in the margin"
margin	a permissible difference; allowing some freedom to move within limits
marginal	at or constituting a border or edge; "the marginal strip of beach"
marginal	of questionable or minimal quality; "borderline grades"; "marginal writing ability"
marginal	just barely adequate or within a lower limit; "a bare majority"; "a marginal victory"
marginal	producing at a rate that barely covers production costs; "marginal industries"
Marine	a member of the United States Marine Corps
marine	a soldier who serves both on shipboard and on land
marker	some conspicuous object used to distinguish or mark something; "the buoys were markers for the channel"
marker	a distinguishing symbol; "the owner's mark was on all the sheep"
marker	a writing implement for making a mark
marketplace	the world of commercial activity where goods and services are bought and sold; "without competition there would be no market"; "they were driven from the marketplace"
marketplace	an area in a town where a public mercantile establishment is set up
martial	(of persons) befitting a warrior; "a military bearing"
martial	suggesting war or military life
martial	of or relating to the armed forces; "martial law"
mask	a covering to disguise or conceal the face
mask	activity that tries to conceal something; "no mask could conceal his ignorance"; "they moved in under a mask of friendship"
mask	a party of guests wearing costumes and masks
mask	a protective covering worn over the face
massacre	the savage and excessive killing of many people
mate	the officer below the master on a commercial ship
mate	a fellow member of a team; "it was his first start against his former teammates"
mate	the partner of an animal (especially a sexual partner); "he loved the mare and all her mates"; "camels hate leaving their mates"
mate	a person's partner in marriage
mate	an exact duplicate; "when a match is found an entry is made in the notebook"
mate	one of a pair; "he lost the mate to his shoe"; "one eye was blue but its fellow was brown"
mate	South American holly; leaves used in making a drink like tea
mate	informal term for a friend of the same sex
mate	South American tea-like drink made from leaves of a South American holly called mate
mate	a chess move constituting an inescapable and indefensible attack on the opponent's king
mathematical	of or pertaining to or of the nature of mathematics; "a mathematical textbook"; "slide rules and other mathematical instruments"; "a mathematical solution to a problem"; "mathematical proof"
mathematical	relating to or having ability to think in or work with numbers; "tests for rating numerical aptitude"; "a mathematical whiz"
mathematical	beyond question; "a mathematical certainty"
mathematical	statistically possible though highly improbable; "have a mathematical chance of making the playoffs"
mathematical	characterized by the exactness or precision of mathematics; "mathematical precision"
mature	characteristic of maturity; "mature for her age"
mature	fully considered and perfected; "mature plans"
mature	having reached full natural growth or development; "a mature cell"
mature	fully developed or matured and ready to be eaten or used; "ripe peaches"; "full-bodied mature wines"
mature	(of birds) having developed feathers or plumage; often used in combination
maximize	make as big or large as possible; "Maximize your profits!"
maximize	make the most of; "He maximized his role"
mayor	the head of a city government
meaningful	having a meaning or purpose; "a meaningful explanation"; "a meaningful discussion"; "a meaningful pause"
meantime	the time between one event, process, or period and another; "meanwhile the socialists are running the government"
mechanic	a craftsman skilled in operating machine tools
mechanic	someone whose occupation is repairing and maintaining automobiles
mechanical	using (or as if using) mechanisms or tools or devices; "a mechanical process"; "his smile was very mechanical"; "a mechanical toy"
mechanical	relating to or concerned with machinery or tools; "mechanical arts"; "mechanical design"; "mechanical skills"; "a technical fault"
mechanical	relating to or governed by or in accordance with mechanics; "a belief that the universe is a mechanical contrivance"; "the mechanical pressure of a strong wind"
mechanism	the atomic process that occurs during a chemical reaction; "he determined unique mechanisms for the photochemical reactions"
mechanism	the technical aspects of doing something; "a mechanism of social control"; "mechanisms of communication"; "the mechanics of prose style"
mechanism	a natural object resembling a machine in structure or function; "the mechanism of the ear"; "the mechanism of infection"
mechanism	(philosophy) the philosophical theory that all phenomena can be explained in terms of physical or biological causes
mechanism	device consisting of a piece of machinery; has moving parts that perform some function
medal	an award for winning a championship or commemorating some other event
medication	(medicine) something that treats or prevents or alleviates the symptoms of disease
medication	the act of treating with medicines or remedies
medieval	relating to or belonging to the Middle Ages; "Medieval scholars"; "Medieval times"
medieval	as if belonging to the Middle Ages; old-fashioned and unenlightened; "a medieval attitude toward dating"
medieval	characteristic of the time of chivalry and knighthood in the Middle Ages; "chivalric rites"; "the knightly years"
meditation	continuous and profound contemplation or musing on a subject or series of subjects of a deep or abstruse nature; "the habit of meditation is the basis for all real knowledge"
meditation	(religion) contemplation of spiritual matters (usually on religious or philosophical subjects)
melody	a succession of notes forming a distinctive sequence; "she was humming an air from Beethoven"
melody	the perception of pleasant arrangements of musical notes
membership	the body of members of an organization or group; "they polled their membership"; "they found dissension in their own ranks"; "he joined the ranks of the unemployed"
membership	the state of being a member
memo	a written proposal or reminder
memoir	an account of the author's personal experiences
memoir	an essay on a scientific or scholarly topic
memorable	worth remembering
memorial	a recognition of meritorious service
memorial	a written statement of facts submitted in conjunction with a petition to an authority
memorial	a structure erected to commemorate persons or events
mentor	a wise and trusted guide and advisor
merchant	a businessperson engaged in retail trade
mercy	leniency and compassion shown toward offenders by a person or agency charged with administering justice; "he threw himself on the mercy of the court"
mercy	a disposition to be kind and forgiving; "in those days a wife had to depend on the mercifulness of her husband"
mercy	the feeling that motivates compassion
mercy	something for which to be thankful; "it was a mercy we got out alive"
mercy	alleviation of distress; showing great kindness toward the distressed; "distributing food and clothing to the flood victims was an act of mercy"
mere	being nothing more than specified; "a mere child"
mere	apart from anything else; without additions or modifications; "only the bare facts"; "shocked by the mere idea"; "the simple passage of time was enough"; "the simple truth"
merely	and nothing more; "I was merely asking"; "it is simply a matter of time"; "just a scratch"; "he was only a child"; "hopes that last but a moment"
merge	become one; "Germany unified officially in 1990"; "the cells merge"
merge	mix together different elements; "The colors blend well"
merge	join or combine; "We merged our resources"
merger	the combination of two or more commercial companies
merger	an occurrence that involves the production of a union
merit	any admirable quality or attribute; "work of great merit"
merit	the quality of being deserving (e.g., deserving assistance); "there were many children whose deservingness he recognized and rewarded"
metaphor	a figure of speech in which an expression is used to refer to something that it does not literally denote in order to suggest a similarity
methodology	the branch of philosophy that analyzes the principles and procedures of inquiry in a particular discipline
methodology	the system of methods followed in a particular discipline
midst	the location of something surrounded by other things; "in the midst of the crowd"
migration	the movement of persons from one country or locality to another
migration	a group of people migrating together (especially in some given time period)
migration	(chemistry) the nonrandom movement of an atom or radical from one place to another within a molecule
migration	the periodic passage of groups of animals (especially birds or fishes) from one region to another for feeding or breeding
militant	disposed to warfare or hard-line policies; "militant nations"; "hawkish congressman"; "warlike policies"
militant	showing a fighting disposition; "highly competitive sales representative"; "militant in fighting for better wages for workers"; "his self-assertive and ubiquitous energy"
militant	engaged in war; "belligerent (or warring) nations"
militia	civilians trained as soldiers but not part of the regular army
militia	the entire body of physically fit civilians eligible by law for military service; "their troops were untrained militia"; "Congress shall have power to provide for calling forth the militia"--United States Constitution
mill	a plant consisting of one or more buildings with facilities for manufacturing
Mill	Scottish philosopher who expounded Bentham's utilitarianism; father of John Stuart Mill (1773-1836)
Mill	English philosopher and economist remembered for his interpretations of empiricism and utilitarianism (1806-1873)
mill	machinery that processes materials by grinding or crushing
mill	the act of grinding to a powder or dust
miner	laborer who works in a mine
minimal	the least possible; "needed to enforce minimal standards"; "her grades were minimal"; "minimum wage"; "a minimal charge for the service"
minimize	make small or insignificant; "Let's minimize the risk"
minimize	represent as less significant or important
minimize	cause to seem less serious; play down; "Don't belittle his influence"
mining	the act of extracting ores or coal etc from the earth
mining	laying explosive mines in concealed places to destroy enemy personnel and equipment
ministry	religious ministers collectively (especially Presbyterian)
ministry	building where the business of a government ministry is transacted
ministry	a government department under the direction of a minister of state
ministry	the work of a minister of religion; "he is studying for the ministry"
minute	a unit of time equal to 60 seconds or 1/60th of an hour; "he ran a 4 minute mile"
minute	an indefinitely short time; "wait just a moment"; "in a mo"; "it only takes a minute"; "in just a bit"
minute	a particular point in time; "the moment he arrived the party began"
minute	a unit of angular distance equal to a 60th of a degree
minute	a short note; "the secretary keeps the minutes of the meeting"
minute	distance measured by the time taken to cover it; "we live an hour from the airport"; "its just 10 minutes away"
miracle	any amazing or wonderful occurrence
miracle	a marvellous event manifesting a supernatural act of a divine agent
miserable	very unhappy; full of misery; "he felt depressed and miserable"; "a message of hope for suffering humanity"; "wretched prisoners huddled in stinking cages"
miserable	deserving or inciting pity; "a hapless victim"; "miserable victims of war"; "the shabby room struck her as extraordinarily pathetic"- Galsworthy; "piteous appeals for help"; "pitiable homeless children"; "a pitiful fate"; "Oh, you poor thing"; "his poor distorted limbs"; "a wretched life"
miserable	of the most contemptible kind; "abject cowardice"; "a low stunt to pull"; "a low-down sneak"; "his miserable treatment of his family"; "You miserable skunk!"; "a scummy rabble"; "a scurvy trick"
miserable	of very poor quality or condition; "deplorable housing conditions in the inner city"; "woeful treatment of the accused"; "woeful errors of judgment"
miserable	characterized by physical misery; "a wet miserable weekend"; "spent a wretched night on the floor"
miserable	contemptibly small in amount; "a measly tip"; "the company donated a miserable $100 for flood relief"; "a paltry wage"; "almost depleted his miserable store of dried beans"
misery	a state of ill-being due to affliction or misfortune; "the misery and wretchedness of those slums is intolerable"
misery	a feeling of intense unhappiness; "she was exhausted by her misery and grief"
misleading	designed to deceive or mislead either deliberately or inadvertently; "the deceptive calm in the eye of the storm"; "deliberately deceptive packaging"; "a misleading similarity"; "statistics can be presented in ways that are misleading"
missile	a rocket carrying a warhead of conventional or nuclear explosives; may be ballistic or directed by remote control
missile	a weapon that is forcibly thrown or projected at a targets but is not self-propelled
mob	a disorderly crowd of people
mob	a loose affiliation of gangsters in charge of organized criminal activities
mob	an association of criminals; "police tried to break up the gang"; "a pack of thieves"
mobility	the quality of moving freely
mobilize	make ready for action or use; "marshal resources"
mobilize	call to arms; of military personnel
mobilize	get ready for war
mobilize	cause to move around
mode	how something is done or how it happens; "her dignified manner"; "his rapid manner of talking"; "their nomadic mode of existence"; "in the characteristic New York style"; "a lonely way of life"; "in an abrasive fashion"
mode	a particular functioning condition or arrangement; "switched from keyboard to voice mode"
mode	a classification of propositions on the basis of whether they claim necessity or possibility or impossibility
mode	verb inflections that express how the action or state is conceived by the speaker
mode	any of various fixed orders of the various diatonic notes within an octave
mode	the most frequent value of a random variable
moderate	being within reasonable or average limits; not excessive or extreme; "moderate prices"; "a moderate income"; "a moderate fine"; "moderate demands"; "a moderate estimate"; "a moderate eater"; "moderate success"; "a kitchen of moderate size"; "the X-ray showed moderate enlargement of the heart"
moderate	not extreme; "a moderate penalty"; "temperate in his response to criticism"
moderate	marked by avoidance of extravagance or extremes; "moderate in his demands"; "restrained in his response"
modest	marked by simplicity; having a humble opinion of yourself; "a modest apartment"; "too modest to wear his medals"
modest	not large but sufficient in size or amount; "a modest salary"; "modest inflation"; "helped in my own small way"
modest	free from pomp or affectation; "comfortable but modest cottages"; "a simple rectangular brick building"; "a simple man with simple tastes"
modest	not offensive to sexual mores in conduct or appearance; "a modest neckline in her dress covered her up to her collarbone"
modest	low or inferior in station or quality; "a humble cottage"; "a lowly parish priest"; "a modest man of the people"; "small beginnings"
modest	humble in spirit or manner; suggesting retiring mildness or even cowed submissiveness; "meek and self-effacing"
modest	relatively moderate, limited, or small; "a small business"; "a newspaper with a modest circulation"; "small-scale plans"; "a pocket-size country"
modification	the act of making something different (as e.g. the size of a garment)
modification	slightly modified copy; not an exact copy; "a modification of last year's model"
modification	the grammatical relation that exists when a word qualifies the meaning of the phrase
modification	an event that occurs when something passes from one state or phase to another; "the change was intended to increase sales"; "this storm is certainly a change for the worse"; "the neighborhood had undergone few modifications since his last visit years ago"
momentum	an impelling force or strength; "the car's momentum carried it off the road"
momentum	the product of a body's mass and its velocity; "the momentum of the particles was deduced from meteoritic velocities"
monk	a male religious living in a cloister and devoting himself to contemplation and prayer and work
Monk	United States jazz pianist who was one of the founders of the bebop style (1917-1982)
monopoly	(economics) a market in which there are many buyers but only one seller; "a monopoly on silver"; "when you have a monopoly you can ask any price you like"
monopoly	exclusive control or possession of something; "They have no monopoly on intelligence"
Monopoly	a board game in which players try to gain a monopoly on real estate as pieces advance around the board according to the throw of a die
monster	an imaginary creature usually having various human and animal parts
monster	someone or something that is abnormally large and powerful
monster	a person or animal that is markedly unusual or deformed
monster	a cruel wicked and inhuman person
monster	(medicine) a grossly malformed and usually nonviable fetus
monthly	of or occurring or payable every month; "monthly payments"; "the monthly newsletter"
monument	a structure erected to commemorate persons or events
monument	an important site that is marked and preserved as public property
monument	a burial vault (usually for some famous person)
morality	concern with the distinction between good and evil or right and wrong; right or good conduct
morality	motivation based on ideas of right and wrong
moreover	in addition; "computer chess games are getting cheaper all the time; furthermore, their quality is improving"; "the cellar was dark; moreover, mice nested there"; "what is more, there's no sign of a change"
mortgage	a conditional conveyance of property as security for the repayment of a loan
mosque	(Islam) a Muslim place of worship that usually has a minaret
motion	the use of movements (especially of the hands) to communicate familiar or prearranged signals
motion	a natural event that involves a change in the position or location of something
motion	a change of position that does not entail a change of location; "the reflex motion of his eyebrows revealed his surprise"; "movement is a sign of life"; "an impatient move of his hand"; "gastrointestinal motility"
motion	a state of change; "they were in a state of steady motion"
motion	a formal proposal for action made to a deliberative assembly for discussion and vote; "he made a motion to adjourn"; "she called for the question"
motion	the act of changing location from one place to another; "police controlled the motion of the crowd"; "the movement of people from the farms to the cities"; "his move put him directly in my path"
motion	an optical illusion of motion produced by viewing a rapid succession of still pictures of a moving object; "the cinema relies on apparent motion"; "the succession of flashing lights gave an illusion of movement"
motivate	give an incentive for action; "This moved me to sacrifice my career"
motivation	the psychological feature that arouses an organism to action toward a desired goal; the reason for the action; that which gives purpose and direction to behavior; "we did not understand his motivation"; "he acted with the best of motives"
motivation	the condition of being motivated; "his motivation was at a high level"
motivation	the act of motivating; providing incentive
motive	the psychological feature that arouses an organism to action toward a desired goal; the reason for the action; that which gives purpose and direction to behavior; "we did not understand his motivation"; "he acted with the best of motives"
motive	a theme that is repeated or elaborated in a piece of music
motive	a design or figure that consists of recurring shapes or colors, as in architecture or decoration
motorist	someone who drives (or travels in) an automobile
moving	in motion; "a constantly moving crowd"; "the moving parts of the machine"
moving	arousing or capable of arousing deep emotion; "she laid her case of destitution before him in a very moving letter"- N. Hawthorne
moving	used of a series of photographs presented so as to create the illusion of motion; "Her ambition was to be in moving pictures or `the movies'"
municipal	relating or belonging to or characteristic of a municipality; "municipal government"; "municipal bonds"; "a municipal park"; "municipal transportation"
municipal	of or relating to the government of a municipality; "international law...only authorizes a belligerent to punish a spy under its municipal law"- J.L.kuntz
mutual	common to or shared by two or more parties; "a common friend"; "the mutual interests of management and labor"
mutual	concerning each of two or more persons or things; especially given or done in return; "reciprocal aid"; "reciprocal trade"; "mutual respect"; "reciprocal privileges at other clubs"
myth	a traditional story accepted as history; serves to explain the world view of a people
naked	completely unclothed; "bare bodies"; "naked from the waist up"; "a nude model"
naked	having no protecting or concealing cover; "naked to mine enemies"- Shakespeare
naked	(of the eye or ear e.g.) without the aid of an optical or acoustical device or instrument; "visible to the naked eye"
naked	devoid of elaboration or diminution or concealment; bare and pure; "naked ambition"; "raw fury"; "you may kill someone someday with your raw power"
naked	lacking any cover; "naked branches of the trees"; "lie on the naked rock"
namely	as follows
nasty	offensive or even (of persons) malicious; "in a nasty mood"; "a nasty accident"; "a nasty shock"; "a nasty smell"; "a nasty trick to pull"; "Will he say nasty things at my funeral?"- Ezra Pound
nasty	exasperatingly difficult to handle or circumvent; "a nasty problem"; "a good man to have on your side in a tight situation"
nasty	characterized by obscenity; "had a filthy mouth"; "foul language"; "smutty jokes"
nasty	disgustingly dirty; filled or smeared with offensive matter; "as filthy as a pigsty"; "a foul pond"; "a nasty pigsty of a room"
nationwide	occurring or extending throughout a country or nation; "the event aroused nationwide interest"; "a countrywide fund-raising campaign"
naval	connected with or belonging to or used in a navy; "naval history"; "naval commander"; "naval vessels"
navigation	the guidance of ships or airplanes from place to place
navigation	ship traffic; "the channel will be open to navigation as soon as the ice melts"
navigation	the work of a sailor
nearby	close at hand; "the nearby towns"; "concentrated his study on the nearby planet Venus"
necessity	the condition of being essential or indispensable
necessity	anything indispensable; "food and shelter are necessities of life"; "the essentials of the good life"; "allow farmers to buy their requirements under favorable conditions"; "a place where the requisites of water fuel and fodder can be obtained"
neglect	lack of attention and due care
neglect	the state of something that has been unused and neglected; "the house was in a terrible state of neglect"
neglect	willful lack of care and attention
neglect	the trait of neglecting responsibilities and lacking concern
neglect	failure to act with the prudence that a reasonable person would exercise under the same circumstances
negotiate	discuss the terms of an arrangement; "They negotiated the sale of the house"
negotiate	succeed in passing through, around, or over; "The hiker negociated the high mountain pass"
negotiation	a discussion intended to produce an agreement; "the buyout negotiation lasted several days"; "they disagreed but kept an open dialogue"; "talks between Israelis and Palestinians"
negotiation	the activity or business of negotiating an agreement; coming to terms
neighboring	having a common boundary or edge; abutting; touching; "Rhode Island has two bordering states; Massachusetts and Connecticut"; "the side of Germany conterminous with France"; "Utah and the contiguous state of Idaho"; "neighboring cities"
nest	a structure in which animals lay eggs or give birth to their young
nest	a kind of gun emplacement; "a machine-gun nest"; "a nest of snipers"
nest	a cosy or secluded retreat
nest	a gang of people (criminals or spies or terrorists) assembled in one locality; "a nest of thieves"
nest	furniture pieces made to fit close together
net	remaining after all deductions; "net profit"
net	conclusive in a process or progression; "the final answer"; "a last resort"; "the net result"
neutral	having no personal preference; "impersonal criticism"; "a neutral observer"
neutral	having only a limited ability to react chemically; chemically inactive; "inert matter"; "an indifferent chemical in a reaction"
neutral	not supporting or favoring either side in a war, dispute, or contest
neutral	possessing no distinctive quality or characteristics
neutral	having no hue; "neutral colors like black or white"
neutral	lacking distinguishing quality or characteristics; "a neutral personality that made no impression whatever"
neutral	having no net electric charge
newly	very recently; "they are newly married"; "newly raised objections"; "a newly arranged hairdo"; "grass new washed by the rain"; "a freshly cleaned floor"; "we are fresh out of tomatoes"
newsletter	report or open letter giving informal or confidential news of interest to a special group
niche	a position particularly well suited to the person who occupies it; "he found his niche in the academic world"
niche	a small concavity
niche	an enclosure that is set back or indented
niche	(ecology) the status of an organism within its environment and community (affecting its survival as a species)
noble	impressive in appearance; "a baronial mansion"; "an imposing residence"; "a noble tree"; "severe-looking policemen sat astride noble horses"; "stately columns"
noble	of or belonging to or constituting the hereditary aristocracy especially as derived from feudal times; "of noble birth"
noble	having or showing or indicative of high or elevated character; "a noble spirit"; "noble deeds"
noble	inert especially toward oxygen; "a noble gas such as helium or neon"; "noble metals include gold and silver and platinum"
nod	a sign of assent or salutation or command
nod	the act of nodding the head
nominate	propose as a candidate for some honor
nominate	put forward; nominate for appointment to an office or for an honor or position; "The President nominated her as head of the Civil Rights Commission"
nominate	charge with a function; charge to be; "She was named Head of the Committee"; "She was made president of the club"
nominate	create and charge with a task or function; "nominate a committee"
nomination	the act of officially naming a candidate; "the Republican nomination for Governor"
nomination	the condition of having been proposed as a suitable candidate for appointment or election; "there was keen competition for the nomination"; "his nomination was hotly protested"
nomination	an address (usually at a political convention) proposing the name of a candidate to run for election; "the nomination was brief and to the point"
nominee	a politician who is running for public office
nonprofit	not commercially motivated
nonetheless	despite anything to the contrary (usually preceding a concession); "although I'm a little afraid, however I'd like to try it"; "while we disliked each other, nevertheless we agreed"; "he was a stern yet fair master"; "granted that it is dangerous, all the same I still want to go"
nonsense	having no intelligible meaning; "nonsense syllables"; "a nonsensical jumble of words"
noon	the middle of the day
norm	a standard or model or pattern regarded as typical; "the current middle-class norm of two children per family"
norm	a statistic describing the location of a distribution; "it set the norm for American homes"
notable	widely known and esteemed; "a famous actor"; "a celebrated musician"; "a famed scientist"; "an illustrious judge"; "a notable historian"; "a renowned painter"
notable	worthy of attention because interesting, significant, or unusual; "a noteworthy fact is that her students rarely complain"; "a noteworthy advance in cancer research"; "a remarkable achievement"; "a notable increase in the crime rate"
notably	especially; in particular; "notably in the social sciences, the professors teach too much"
notably	to a remarkable degree or extent; "she was unusually tall"; "Notably missing from the network's fall line-up are any half-hour scripted comedies"
notebook	a book with blank pages for recording notes or memoranda
notebook	a small compact portable computer
notify	inform (somebody) of something; "I advised him that the rent was due"
notorious	known widely and usually unfavorably; "a notorious gangster"; "the tenderloin district was notorious for vice"; "the infamous Benedict Arnold"
novel	original and of a kind not seen before; "the computer produced a completely novel proof of a well-known theorem"
novel	pleasantly new or different; "common sense of a most refreshing sort"
novelist	one who writes novels
nowadays	in these times; "it is solely by their language that the upper classes nowadays are distinguished"- Nancy Mitford; "we now rarely see horse-drawn vehicles on city streets"; "today almost every home has television"
nursery	a child's room for a baby
nursing	the work of caring for the sick or injured or infirm
nursing	the profession of a nurse
nursing	nourishing at the breast
nutrition	(physiology) the organic process of nourishing or being nourished; the processes by which an organism assimilates food and uses it for growth and maintenance
nutrition	a source of materials to nourish the body
nutrition	the scientific study of food and drink (especially in humans)
obesity	more than average fatness
objection	the act of expressing earnest opposition or protest
objection	the speech act of objecting
objection	the act of protesting; a public (often organized) manifestation of dissent
objection	(law) a procedure whereby a party to a suit says that a particular line of questioning or a particular witness or a piece of evidence or other matter is improper and should not be continued and asks the court to rule on its impropriety or illegality
oblige	force somebody to do something; "We compel all students to fill out this form"
oblige	bind by an obligation; cause to be indebted; "He's held by a contract"; "I'll hold you by your promise"
oblige	provide a service or favor for someone; "We had to oblige him"
observer	a person who becomes aware (of things or events) through the senses
observer	an expert who observes and comments on something
obsess	haunt like a ghost; pursue; "Fear of illness haunts her"
obsess	be preoccupied with something; "She is obsessing over her weight"
obsession	an irrational motive for performing trivial or repetitive actions, even against your will; "her compulsion to wash her hands repeatedly"
obsession	an unhealthy and compulsive preoccupation with something or someone
obstacle	something immaterial that stands in the way and must be circumvented or surmounted; "lack of imagination is an obstacle to one's advancement"; "the poverty of a district is an obstacle to good education"; "the filibuster was a major obstruction to the success of their plan"
obstacle	an obstruction that stands in the way (and must be removed or surmounted or circumvented)
occasional	occurring from time to time; "took an occasional glass of wine"
occasional	occurring or appearing at usually irregular intervals; "episodic in his affections"; "occasional headaches"
occasional	occurring on a temporary or irregular basis; "casual employment"; "a casual correspondence with a former teacher"; "an occasional worker"
